IBD_percent,fraction_IBD.iida,fraction_IBD.iidb
5.994946523,Sample5025954,Sample5026142
5.994946523,Sample5024591,Sample5025954
5.994946523,Sample5025684,Sample5026443
5.994939601,Sample5026433,Sample5026814
5.994590011,Sample5025263,Sample5026433
5.994586549,Sample5026433,Sample5026871
5.99151985,Sample5025954,Sample5026814
5.988702364,Sample5024069,Sample5026409
5.982475511,Sample5026316,Sample5026871
5.977640096,Sample5024006,Sample5024055
5.974248036,Sample5024006,Sample5024054
5.963826105,PU9,Sample5024591
5.960631338,Sample5025263,Sample5026814
5.929559378,Sample5026054,Sample5026452
5.922259527,Sample5024006,Sample5026438
5.92111038,Sample5024473,Sample5024992
5.913478246,Sample5024086,Sample5025257
5.912270257,Sample5025263,Sample5025954
5.898726247,Sample5024006,Sample5024086
5.894794227,PU4,Sample5025262
5.894569243,Sample5024086,Sample5026443
5.893901215,PU25,Sample5026032
5.891305251,Sample5025118,Sample5026032
5.888034336,Sample5024054,Sample5026316
5.887854349,Sample5025262,Sample5026468
5.887556679,PU4,Sample5026468
5.886985566,Sample5024376,Sample5026468
5.884185386,Sample5024992,Sample5025118
5.880724101,PU25,Sample5025257
5.877262815,Sample5025684,Sample5026468
5.8766294,PU25,Sample5024055
5.87380153,Sample5024055,Sample5026468
5.870613686,PU25,Sample5025118
5.870357551,PU12,PU25
5.870340244,Sample5026438,Sample5026468
5.870340244,Sample5026443,Sample5026468
5.870340244,PU25,Sample5026468
5.861302828,PU14,Sample5025118
5.856979682,Sample5025262,Sample5026735
5.847340002,Sample5024006,Sample5024069
5.839188675,Sample5024054,Sample5025262
5.813270569,Sample5024083,Sample5024818
5.803395521,Sample5026316,Sample5026910
5.801114534,Sample5024818,Sample5026409
5.794323492,Sample5024376,Sample5026409
5.772998512,Sample5025909,Sample5026206
5.729150947,Sample5024475,Sample5024549
5.725738119,Sample5026316,Sample5026468
5.713357101,Sample5024992,Sample5026054
5.7114707,PU4,Sample5025953
5.705517289,PU14,Sample5025264
5.703980478,Sample5025257,Sample5025684
5.702384826,PU15,Sample5024051
5.649852895,Sample5025954,Sample5026878
5.647907653,Sample5026814,Sample5026878
5.6418954,Sample5024820,Sample5025262
5.6418954,Sample5024820,Sample5025076
5.6418954,Sample5025076,Sample5025262
5.638704095,Sample5025117,Sample5025964
5.630116645,Sample5025117,Sample5026910
5.614828147,Sample5024264,Sample5026133
5.614291648,Sample5024051,Sample5024364
5.607320619,Sample5024055,Sample5025076
5.600432661,PU5,Sample5024264
5.521363054,Sample5024051,Sample5026916
5.50840054,Sample5024833,Sample5025065
5.50605725,Sample5025263,Sample5026441
5.47272507,PU14,Sample5026437
5.459807553,PU9,Sample5025261
5.455024056,Sample5025117,Sample5025261
5.414177425,Sample5024833,Sample5025117
5.383344294,Sample5024442,Sample5025684
5.375376415,Sample5024833,Sample5025076
5.3581046,Sample5025076,Sample5026773
5.337928767,Sample5025942,Sample5026578
5.296369111,Sample5024264,Sample5026437
5.269405697,Sample5025398,Sample5026437
5.262005469,PU14,Sample5025065
5.257789623,PU14,Sample5026134
5.254314492,Sample5025076,Sample5026847
5.252992281,Sample5024673,Sample5025958
5.196455644,Sample5026133,Sample5026134
5.194711156,Sample5024171,Sample5024549
5.192983974,Sample5024549,Sample5026134
5.192520162,PU16,Sample5026910
5.153729535,Sample5025076,Sample5026402
5.074410716,Sample5024051,Sample5026438
5.023470977,Sample5024051,Sample5026588
5.009760825,Sample5024833,Sample5025261
4.980914472,Sample5024376,Sample5025125
4.935156277,Sample5024006,Sample5025262
4.880637569,Sample5024006,Sample5026735
4.877501644,Sample5025684,Sample5026735
4.837392267,Sample5024485,Sample5026910
4.788138175,Sample5024414,Sample5025973
4.767439687,Sample5024006,Sample5026134
4.747184244,Sample5024591,Sample5026134
4.614018206,Sample5024264,Sample5026588
4.590111107,PU25,Sample5026773
4.589664601,Sample5025261,Sample5026402
4.589183483,Sample5024069,Sample5026871
4.56090478,Sample5024054,Sample5026437
4.55710775,Sample5025261,Sample5026134
4.551860441,Sample5024096,Sample5025954
4.530469696,PU28,Sample5026847
4.517943304,Sample5024264,Sample5026884
4.512419092,Sample5024818,Sample5025257
4.479412274,Sample5024054,Sample5025257
4.475698314,PU4,Sample5025257
4.473337718,Sample5024171,Sample5025684
4.453944135,PU12,Sample5026910
4.424464366,PU15,Sample5024054
4.416766467,Sample5024819,Sample5024992
4.397455955,PU28,Sample5026468
4.380973313,Sample5025954,Sample5026134
4.379799938,Sample5024981,Sample5026588
4.37073137,Sample5025263,Sample5026773
4.363455747,PU2,Sample5024069
4.356986605,Sample5025264,Sample5026773
4.353033817,Sample5026578,Sample5026884
4.35118549,Sample5025257,Sample5026735
4.350500156,PU4,Sample5026884
4.350385933,PU4,Sample5026584
4.350219792,Sample5024981,Sample5025076
4.349665986,Sample5024704,Sample5025684
4.348655291,Sample5024549,Sample5026773
4.34857222,Sample5024485,Sample5026240
4.34755114,Sample5025264,Sample5025684
4.346993874,Sample5025263,Sample5025398
4.343982555,Sample5024704,Sample5025964
4.343369908,Sample5024591,Sample5025076
4.341784639,Sample5024549,Sample5024706
