sample_id,province,district,ward,cluster_id,cluster_latitude,cluster_longitude,cluster_altitude,FWS,polygenomic_infection
Sample5025076,North-Western,Solwezi,Kangwena,117,-12.30446266,26.99229866,1387.92,0.45,No
Sample5024360,Northern,Chilubi,Ndela,124,-10.95629757,30.12310149,1178.5,0.99,Yes
PU22,Northern,Chilubi,Ndela,124,-10.95629757,30.12310149,1178.5,0.76,No
Sample5025684,Northern,Chilubi,Ndela,124,-10.95629757,30.12310149,1178.5,0.61,No
PU28,Northern,Chilubi,Ndela,124,-10.95629757,30.12310149,1178.5,0.44,No
Sample5026244,Northern,Kaputa,Kaleulu,125,-8.457591057,29.71411613,944.8,0.51,No
Sample5026584,Northern,Kasama,Lualuo,126,-10.28437229,31.14926131,1266.782609,0.59,No
Sample5026578,Northern,Kasama,Lualuo,126,-10.28437229,31.14926131,1266.782609,0.39,No
Sample5026054,Northern,Kasama,Lualuo,126,-10.28437229,31.14926131,1266.782609,0.38,No
Sample5026588,Northern,Kasama,Lualuo,126,-10.28437229,31.14926131,1266.782609,0.31,No
PU24,Northern,Luwingu,Katilye,127,-10.70694317,29.62850487,1165.04,0.83,No
Sample5024310,Northern,Mbala,Nsunzu,128,-8.83122139,31.41841209,1644.84,0.99,Yes
PU20,Northern,Mbala,Nsunzu,128,-8.83122139,31.41841209,1644.84,0.99,Yes
PU19,Northern,Mbala,Nsunzu,128,-8.83122139,31.41841209,1644.84,0.78,No
PU17,Northern,Mbala,Nsunzu,128,-8.83122139,31.41841209,1644.84,0.73,No
PU18,Northern,Mbala,Nsunzu,128,-8.83122139,31.41841209,1644.84,0.63,No
PU26,Northern,Mporokoso,Chimpolenge,130,-9.479858665,30.09143745,1372.08,0.59,No
PU25,Northern,Mporokoso,Chimpolenge,130,-9.479858665,30.09143745,1372.08,0.36,No
Sample5026596,Northern,Mungwi,Mpanda,131,-9.67289714,31.86891635,1263.083333,0.84,No
Sample5024364,Northern,Mungwi,Mpanda,131,-9.67289714,31.86891635,1263.083333,0.53,No
PU23,Northern,Mungwi,Mungwi,132,-10.07977176,31.44581978,1307.916667,0.92,No
Sample5024113,Western,KALABO,Yuka,148,-14.98834499,22.61117661,1053.2,0.95,Yes
Sample5024937,Western,KALABO,Namulilo,149,-15.42491547,22.87196,1032.083333,0.99,Yes
Sample5025503,Western,Limulunga,Namboma,158,-15.17758331,23.24432106,1064.12,0.90,No
Sample5025504,Western,MONGU,Mbekise,162,-15.47528721,23.62777893,1060.76,0.99,Yes
Sample5025542,Western,MONGU,Mbekise,162,-15.47528721,23.62777893,1060.76,0.91,No
Sample5025548,Western,MONGU,Mbekise,162,-15.47528721,23.62777893,1060.76,0.39,No
Sample5025335,Western,MONGU,Mbekise,162,-15.47528721,23.62777893,1060.76,0.39,No
Sample5025199,Western,SENANGA,Mwanambuyu,164,-15.91330961,23.31089791,1019.333333,0.96,Yes
Sample5026400,Western,SENANGA,Naluywa,165,-16.04441107,23.52220108,1025.190476,1.00,Yes
Sample5026399,Western,SENANGA,Naluywa,165,-16.04441107,23.52220108,1025.190476,0.99,Yes
Sample5024771,Western,SENANGA,Naluywa,165,-16.04441107,23.52220108,1025.190476,0.92,No
Sample5026392,Western,SENANGA,Naluywa,165,-16.04441107,23.52220108,1025.190476,0.88,No
Sample5025747,Western,SHANG'OMBO,Mambolomoka,168,-16.03783218,22.10763454,1043.041667,0.99,Yes
Sample5024179,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.99,Yes
Sample5024461,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.98,Yes
Sample5024173,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.98,Yes
Sample5024476,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.92,No
Sample5024465,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.92,No
Sample5024467,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.87,No
Sample5024469,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.86,No
Sample5024475,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.71,No
Sample5024472,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.61,No
Sample5024171,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.55,No
Sample5024473,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.39,No
Sample5024165,Western,Sikongo,Lulangunyi,170,-15.22028507,22.10517426,1054.68,0.39,No
Sample5024964,Western,Sikongo,Licha,171,-14.83281855,22.09994706,1052.5,0.99,Yes
Sample5025289,Western,Sikongo,Licha,171,-14.83281855,22.09994706,1052.5,0.95,Yes
Sample5025291,Western,Sikongo,Licha,171,-14.83281855,22.09994706,1052.5,0.93,No
Sample5026483,Western,Mulobezi,Sichili,176,-16.7337104,25.02351845,1007.16,0.52,No
Sample5026378,Western,Mwandi,Lwanja,178,-17.25397708,24.65226876,981.9545455,0.90,No
